recording_id,passage_id,start_s,end_s,time_basis,anchor_ns,kind,boundary_status,outcome,obstacle_id,repeat_group_id,human_review_status,evidence,notes
gait_20260909_150705_4fe2b5f8eebd,gait_20260909_150705_4fe2b5f8eebd-P03,38.0,48.0,source_stamp_minus_manifest_started_wall_ns,1788937625907206844,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150705_4fe2b5f8eebd,gait_20260909_150705_4fe2b5f8eebd-P04,48.0,78.0,source_stamp_minus_manifest_started_wall_ns,1788937625907206844,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150705_4fe2b5f8eebd,gait_20260909_150705_4fe2b5f8eebd-P05,78.0,93.25584556100011,source_stamp_minus_manifest_started_wall_ns,1788937625907206844,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150921_9ed8457a8250,gait_20260909_150921_9ed8457a8250-P01,0.0,16.812668758,source_stamp_minus_manifest_started_wall_ns,1788937761476556125,candidate_continuous_passage,candidate_not_human_confirmed,interrupted_control,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_150921_9ed8457a8250,gait_20260909_150921_9ed8457a8250-P02,16.812668758,89.36710523900001,source_stamp_minus_manifest_started_wall_ns,1788937761476556125,post_interruption_context,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_151135_f45a816f4062,gait_20260909_151135_f45a816f4062-P01,0.0,26.31858701400006,source_stamp_minus_manifest_started_wall_ns,1788937895100321950,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,录制内暂保留连续关系；实际通行数与起终点待复核,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_151220_d3ace6be729a,gait_20260909_151220_d3ace6be729a-P01,0.0,13.335592623000139,source_stamp_minus_manifest_started_wall_ns,1788937940673448923,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,录制内暂保留连续关系；实际通行数与起终点待复核,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_151538_271bf7a9d4d2,gait_20260909_151538_271bf7a9d4d2-P01,0.0,24.862878365999904,source_stamp_minus_manifest_started_wall_ns,1788938138046545868,stationary_context,candidate_not_human_confirmed,uncertain,,,pending,录制内暂保留连续关系；实际通行数与起终点待复核,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_151616_30765a77bc55,gait_20260909_151616_30765a77bc55-P01,0.0,56.93477197700008,source_stamp_minus_manifest_started_wall_ns,1788938176268454910,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,录制内暂保留连续关系；实际通行数与起终点待复核,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_151734_72594dc0ad20,gait_20260909_151734_72594dc0ad20-P01,0.0,58.36690297999985,source_stamp_minus_manifest_started_wall_ns,1788938254360532318,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,录制内暂保留连续关系；实际通行数与起终点待复核,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_151931_7a0441190ea8,gait_20260909_151931_7a0441190ea8-P01,0.0,120.00482879900005,source_stamp_minus_manifest_started_wall_ns,1788938371581896819,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,录制内暂保留连续关系；实际通行数与起终点待复核,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_152145_fc06025e3eb8,gait_20260909_152145_fc06025e3eb8-P01,0.0,69.69957151200015,source_stamp_minus_manifest_started_wall_ns,1788938505837553038,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,录制内暂保留连续关系；实际通行数与起终点待复核,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_152557_7ddbfc67c108,gait_20260909_152557_7ddbfc67c108-P01,0.0,40.396370066,source_stamp_minus_manifest_started_wall_ns,1788938757547814830,candidate_continuous_passage,candidate_not_human_confirmed,interrupted_control,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_152557_7ddbfc67c108,gait_20260909_152557_7ddbfc67c108-P02,40.396370066,120.00424284600012,source_stamp_minus_manifest_started_wall_ns,1788938757547814830,post_interruption_context,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_154654_65c5ae680a24,gait_20260909_154654_65c5ae680a24-P01,0.0,52.890893271,source_stamp_minus_manifest_started_wall_ns,1788940014426028272,candidate_continuous_passage,candidate_not_human_confirmed,interrupted_control,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_154654_65c5ae680a24,gait_20260909_154654_65c5ae680a24-P02,52.890893271,107.605885727,source_stamp_minus_manifest_started_wall_ns,1788940014426028272,post_interruption_context,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_154654_65c5ae680a24,gait_20260909_154654_65c5ae680a24-P03,107.605885727,111.55142463600009,source_stamp_minus_manifest_started_wall_ns,1788940014426028272,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_154856_5809460fe5ab,gait_20260909_154856_5809460fe5ab-P01,0.0,40.0,source_stamp_minus_manifest_started_wall_ns,1788940136020004713,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
gait_20260909_154856_5809460fe5ab,gait_20260909_154856_5809460fe5ab-P02,40.0,84.15241997300018,source_stamp_minus_manifest_started_wall_ns,1788940136020004713,candidate_continuous_passage,candidate_not_human_confirmed,uncertain,,,pending,状态退出/恢复仅隔开控制中断上下文；其他通行分界为点云+姿态活动间歇提出的候选,此候选可能包含多个梯段、平台、往返或重试；未确认的重复障碍保持未关联。
